epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,192.696,0.99098,1.04354,1.44315,0.73841,0.65,0.72564,0.49264,1.66853,1.44577,1.38931,2.84911e-05,2.84911e-05,2.84911e-05
41,196.939,0.81123,1.25476,1.16692,0.71407,0.65,0.71194,0.48006,1.66937,1.49273,1.39466,2.87504e-05,2.87504e-05,2.87504e-05
42,201.14,0.92601,1.34742,1.295,0.71407,0.65,0.71194,0.48006,1.66937,1.49273,1.39466,2.89861e-05,2.89861e-05,2.89861e-05
43,205.306,0.50791,2.41995,1.0945,0.64656,0.7,0.61993,0.3973,1.68421,1.56819,1.39298,2.91983e-05,2.91983e-05,2.91983e-05
44,209.509,0.88675,1.06195,1.26572,0.64656,0.7,0.61993,0.3973,1.68421,1.56819,1.39298,2.93869e-05,2.93869e-05,2.93869e-05
45,214.175,0.70303,0.85918,1.18932,0.78478,0.48333,0.5839,0.35518,1.70201,1.61747,1.39903,2.9552e-05,2.9552e-05,2.9552e-05
46,218.765,0.92011,1.25053,1.39001,0.78478,0.48333,0.5839,0.35518,1.70201,1.61747,1.39903,2.96935e-05,2.96935e-05,2.96935e-05
47,223.976,0.87337,0.85614,1.14235,0.78229,0.48333,0.54539,0.32512,1.684,1.66468,1.3948,2.98114e-05,2.98114e-05,2.98114e-05
48,228.354,0.73969,1.06514,1.12934,0.78229,0.48333,0.54539,0.32512,1.684,1.66468,1.3948,2.99058e-05,2.99058e-05,2.99058e-05
49,233.051,0.90974,1.14132,1.24768,0.77761,0.48333,0.52745,0.31293,1.70026,1.71873,1.404,2.99766e-05,2.99766e-05,2.99766e-05
50,237.339,0.83779,0.9211,1.18887,0.77761,0.48333,0.52745,0.31293,1.70026,1.71873,1.404,3.00238e-05,3.00238e-05,3.00238e-05
51,241.79,0.75489,1.03841,1.1527,0.7821,0.48333,0.52376,0.30794,1.72517,1.77169,1.4176,3.00475e-05,3.00475e-05,3.00475e-05
52,246.19,0.80633,0.92017,1.15986,0.7821,0.48333,0.52376,0.30794,1.72517,1.77169,1.4176,3.00476e-05,3.00476e-05,3.00476e-05
53,250.584,0.65421,0.75219,1.18673,0.7821,0.48333,0.52376,0.30794,1.72517,1.77169,1.4176,3.00242e-05,3.00242e-05,3.00242e-05
54,255.002,0.84137,1.1607,1.24684,0.78789,0.48669,0.52109,0.30663,1.73269,1.80703,1.42602,2.99772e-05,2.99772e-05,2.99772e-05
55,259.443,0.8703,0.77783,1.15666,0.78789,0.48669,0.52109,0.30663,1.73269,1.80703,1.42602,2.99066e-05,2.99066e-05,2.99066e-05
56,264.031,0.71079,0.98966,1.10517,0.78789,0.48669,0.52109,0.30663,1.73269,1.80703,1.42602,2.98125e-05,2.98125e-05,2.98125e-05
57,268.776,0.65777,0.85043,1.0827,0.78528,0.48651,0.52096,0.30624,1.72147,1.80531,1.42072,2.96948e-05,2.96948e-05,2.96948e-05
58,273.578,0.70899,0.75427,1.14473,0.78528,0.48651,0.52096,0.30624,1.72147,1.80531,1.42072,2.95535e-05,2.95535e-05,2.95535e-05
59,278.142,0.80731,0.95025,1.2122,0.78528,0.48651,0.52096,0.30624,1.72147,1.80531,1.42072,2.93887e-05,2.93887e-05,2.93887e-05
60,282.782,1.01357,1.15572,1.41106,0.78427,0.48333,0.5162,0.30318,1.73169,1.83968,1.42848,2.92003e-05,2.92003e-05,2.92003e-05
61,287.25,0.62978,0.8162,1.09068,0.78427,0.48333,0.5162,0.30318,1.73169,1.83968,1.42848,2.89884e-05,2.89884e-05,2.89884e-05
62,291.825,0.6625,0.73223,1.12534,0.78427,0.48333,0.5162,0.30318,1.73169,1.83968,1.42848,2.87529e-05,2.87529e-05,2.87529e-05
63,296.582,1.32606,1.72961,1.73124,0.79546,0.48333,0.51673,0.30096,1.69939,1.85294,1.42166,2.84938e-05,2.84938e-05,2.84938e-05
64,301.153,0.79397,0.93455,1.14476,0.79546,0.48333,0.51673,0.30096,1.69939,1.85294,1.42166,2.82112e-05,2.82112e-05,2.82112e-05
65,306.212,0.82371,0.70939,1.12791,0.79546,0.48333,0.51673,0.30096,1.69939,1.85294,1.42166,2.7905e-05,2.7905e-05,2.7905e-05
66,311.165,0.70991,0.68474,1.16873,0.78228,0.48682,0.51602,0.30066,1.74159,1.89038,1.44317,2.75753e-05,2.75753e-05,2.75753e-05
67,316.17,0.66281,0.57687,1.03299,0.78228,0.48682,0.51602,0.30066,1.74159,1.89038,1.44317,2.7222e-05,2.7222e-05,2.7222e-05
68,320.842,0.89478,1.01555,1.24984,0.78228,0.48682,0.51602,0.30066,1.74159,1.89038,1.44317,2.68451e-05,2.68451e-05,2.68451e-05
69,325.285,0.71609,0.71381,1.14056,0.78094,0.46667,0.51281,0.29094,1.73823,1.92294,1.44212,2.64447e-05,2.64447e-05,2.64447e-05
70,329.592,1.04727,1.2529,1.45079,0.78094,0.46667,0.51281,0.29094,1.73823,1.92294,1.44212,2.60207e-05,2.60207e-05,2.60207e-05
71,333.989,0.62415,0.662,1.02113,0.78094,0.46667,0.51281,0.29094,1.73823,1.92294,1.44212,2.55731e-05,2.55731e-05,2.55731e-05
72,338.396,0.77673,0.58791,1.02143,0.79875,0.46667,0.51328,0.28782,1.77413,2.00544,1.4607,2.5102e-05,2.5102e-05,2.5102e-05
73,342.72,0.7398,0.86533,1.13557,0.79875,0.46667,0.51328,0.28782,1.77413,2.00544,1.4607,2.46073e-05,2.46073e-05,2.46073e-05
74,346.975,0.76399,0.73054,1.15747,0.79875,0.46667,0.51328,0.28782,1.77413,2.00544,1.4607,2.40891e-05,2.40891e-05,2.40891e-05
75,351.671,0.87389,0.73854,1.32987,0.8955,0.37898,0.44636,0.28129,1.80579,2.12364,1.4981,2.35472e-05,2.35472e-05,2.35472e-05
76,356.163,0.73206,0.67878,1.11346,0.8955,0.37898,0.44636,0.28129,1.80579,2.12364,1.4981,2.29819e-05,2.29819e-05,2.29819e-05
77,361.357,0.70079,0.66728,1.14298,0.8955,0.37898,0.44636,0.28129,1.80579,2.12364,1.4981,2.23929e-05,2.23929e-05,2.23929e-05
78,366.757,0.89725,1.08842,1.27401,0.89484,0.3778,0.44653,0.28458,1.8327,2.20167,1.53806,2.17805e-05,2.17805e-05,2.17805e-05
